Assay Method,Element,Unit,Indicative Value
Laser Ablation ICP-MS,Ag,ppm,0.1
Laser Ablation ICP-MS,Ho,ppm,4.915
Laser Ablation ICP-MS,Sn,ppm,9.6
Laser Ablation ICP-MS,As,ppm,14.9
Laser Ablation ICP-MS,In,ppm,0.0625
Laser Ablation ICP-MS,Sr,ppm,35.4
Laser Ablation ICP-MS,Ba,ppm,410.5
Laser Ablation ICP-MS,La,ppm,271.5
Laser Ablation ICP-MS,Ta,ppm,3.69
Laser Ablation ICP-MS,Be,ppm,3.8
Laser Ablation ICP-MS,Lu,ppm,2.16
Laser Ablation ICP-MS,Tb,ppm,3.635
Laser Ablation ICP-MS,Bi,ppm,0.4
Laser Ablation ICP-MS,Mn,wt.%,0.05125
Laser Ablation ICP-MS,Te,ppm,< 0.2
Laser Ablation ICP-MS,Cd,ppm,< 0.1
Laser Ablation ICP-MS,Mo,ppm,19.9
Laser Ablation ICP-MS,Th,ppm,51.1
Laser Ablation ICP-MS,Ce,ppm,453
Laser Ablation ICP-MS,Nb,ppm,41.9
Laser Ablation ICP-MS,Ti,wt.%,0.2445
Laser Ablation ICP-MS,Co,ppm,17.7
Laser Ablation ICP-MS,Nd,ppm,151
Laser Ablation ICP-MS,Tl,ppm,0.4
Laser Ablation ICP-MS,Cr,ppm,39.5
Laser Ablation ICP-MS,Ni,ppm,13
Laser Ablation ICP-MS,Tm,ppm,2.51
Laser Ablation ICP-MS,Cs,ppm,2.83
Laser Ablation ICP-MS,Pb,ppm,12.5
Laser Ablation ICP-MS,U,ppm,134
Laser Ablation ICP-MS,Cu,ppm,171
Laser Ablation ICP-MS,Pr,ppm,48.65
Laser Ablation ICP-MS,V,ppm,35.8
Laser Ablation ICP-MS,Dy,ppm,24.35
Laser Ablation ICP-MS,Rb,ppm,256
Laser Ablation ICP-MS,W,ppm,9.325
Laser Ablation ICP-MS,Er,ppm,15.65
Laser Ablation ICP-MS,Re,ppm,0.075
Laser Ablation ICP-MS,Y,ppm,141
Laser Ablation ICP-MS,Eu,ppm,4.12
Laser Ablation ICP-MS,Sb,ppm,1.1
Laser Ablation ICP-MS,Yb,ppm,15.15
Laser Ablation ICP-MS,Ga,ppm,19.5
Laser Ablation ICP-MS,Sc,ppm,6.1
Laser Ablation ICP-MS,Zn,ppm,20
Laser Ablation ICP-MS,Gd,ppm,21.65
Laser Ablation ICP-MS,Se,ppm,3.75
Laser Ablation ICP-MS,Zr,ppm,507
Laser Ablation ICP-MS,Hf,ppm,16.25
Laser Ablation ICP-MS,Sm,ppm,25.1
Borate Fusion XRF,Al2O3,wt.%,11.38
Borate Fusion XRF,Fe2O3,wt.%,6.66
Borate Fusion XRF,Pb,ppm,12.5
Borate Fusion XRF,As,ppm,20
Borate Fusion XRF,K2O,wt.%,4.67
Borate Fusion XRF,SiO2,wt.%,70.02
Borate Fusion XRF,Ba,ppm,405
Borate Fusion XRF,MgO,wt.%,1.405
Borate Fusion XRF,Sn,ppm,20
Borate Fusion XRF,CaO,wt.%,1.56
Borate Fusion XRF,MnO,wt.%,0.08
Borate Fusion XRF,SO3,wt.%,0.114
Borate Fusion XRF,Co,ppm,25
Borate Fusion XRF,Na2O,wt.%,0.17
Borate Fusion XRF,TiO2,wt.%,0.397
Borate Fusion XRF,Cr,ppm,35
Borate Fusion XRF,Ni,ppm,20
Borate Fusion XRF,U,ppm,135
Borate Fusion XRF,Cu,ppm,175
Borate Fusion XRF,P2O5,wt.%,0.125
Borate Fusion XRF,Zn,ppm,30
Thermogravimetry,LOI1000,wt.%,3.17
